City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Saint-Philippe,RE,78.39,light rain,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
4,Atuona,PF,78.69,clear sky,-9.8,-139.03,Villa Enata
12,Vila Velha,BR,85.95,few clouds,-20.33,-40.29,Hotel Vitória Palace
17,Piracuruca,BR,87.76,broken clouds,-3.93,-41.71,Pousada Piracuruca
18,Sapele,NG,84.22,light rain,5.89,5.68,Movig Hotel & Suites
19,Souillac,MU,77.38,few clouds,-20.52,57.52,Bils' Villa
20,Sur,OM,87.28,clear sky,22.57,59.53,Sur Plaza Hotel
21,Butaritari,KI,80.56,broken clouds,3.07,172.79,Isles Sunset Lodge
26,Rikitea,PF,77.18,few clouds,-23.12,-134.97,People ThankYou
27,Mahebourg,MU,77.29,few clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
36,Bengkulu,ID,79.27,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
37,Bandarbeyla,SO,83.97,scattered clouds,9.49,50.81,JABIR HOTEL
38,Namatanai,PG,79.63,overcast clouds,-3.67,152.43,Seagulls Inn Namatani
39,Jatai,BR,84.34,broken clouds,-17.88,-51.71,La Vitre Hotel
40,Georgetown,MY,85.95,few clouds,5.41,100.34,Cititel Penang
41,Vanimo,PG,79.05,overcast clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
47,Port Blair,IN,82.44,mist,11.67,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
50,Sao Felix Do Xingu,BR,89.2,broken clouds,-6.64,-51.99,Aparte Hotel Rio Xingu
52,Kavaratti,IN,85.32,overcast clouds,10.57,72.64,Hotels in Lakshadweep Islands
54,Mogadishu,SO,82.08,broken clouds,2.04,45.34,Hotel Juba
59,Puerto Ayora,EC,75.16,scattered clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
67,Kerema,PG,79.21,broken clouds,-7.96,145.78,Frena Lodge
72,Forrest City,US,80.04,clear sky,35.01,-90.79,Hampton Inn Forrest City
74,Hithadhoo,MV,84.36,overcast clouds,-0.6,73.08,Scoop Guest House
77,Boca Del Monte,MX,77.52,broken clouds,19.15,-96.82,Rancho Sosa
84,Mersing,MY,80.51,few clouds,2.43,103.84,Timotel Hotel
85,Pocone,BR,88.83,broken clouds,-16.26,-56.62,Hotel e Churrascaria Pantaneira
88,Finote Selam,ET,82.9,broken clouds,10.7,37.27,Kidanemihiret vilage with Anduamlak Alelign(ONEGOD)
92,Esmeraldas,BR,80.71,scattered clouds,-19.76,-44.31,Bom Será - Marcinho e Fernanda
97,Sao Joao Da Barra,BR,80.69,clear sky,-21.64,-41.05,Pousada Porto De Canoas
99,Galle,LK,81.61,few clouds,6.04,80.22,Amangalla
101,Belmonte,BR,82.17,scattered clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
103,Natchez,US,85.44,broken clouds,31.56,-91.4,Hampton Inn & Suites Natchez
104,Sungairaya,ID,81.41,overcast clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
107,Abha,SA,76.82,few clouds,18.22,42.51,Abha Hotel
116,Hamilton,US,81.9,broken clouds,39.18,-84.53,Six Acres Bed & Breakfast
118,Avarua,CK,78.85,broken clouds,-21.21,-159.78,Paradise Inn
121,Cabo San Lucas,MX,82.62,clear sky,22.89,-109.91,Vista Roof Restaurant
122,Faya,SA,77.11,broken clouds,18.39,42.45,أبو تركي للوحدات السكنيه
135,Athni,IN,80.71,overcast clouds,16.73,75.07,Basawasri Lodge
142,Majene,ID,80.15,overcast clouds,-3.54,118.97,Kost Putri RABBANI
148,Stephenville,US,80.17,scattered clouds,32.22,-98.2,La Quinta Inn & Suites by Wyndham Stephenville
154,Kavieng,PG,82.8,overcast clouds,-2.57,150.8,Nusa Island Retreat
157,Bhatkal,IN,79.68,light rain,13.97,74.57,Nilawar Palace
159,Acapulco,MX,87.62,clear sky,16.86,-99.89,HS Hotsson Smart Acapulco
160,Kaset Sombun,TH,80.31,light rain,16.28,101.95,อาณาจักร มิน' กะล่อน.
163,Lorengau,PG,81.84,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
167,Shache,CN,84.02,overcast clouds,38.42,77.24,Delong Hotel
171,Khatra,IN,85.95,clear sky,22.98,86.85,Aranyak Resort Mukutmanipur
179,Ransang,PH,81.32,overcast clouds,8.96,117.58,Black and Crystal Sand Campsite
181,Ponta Do Sol,PT,76.71,scattered clouds,32.67,-17.1,Hotel do Campo
187,Takoradi,GH,84.78,light rain,4.88,-1.76,Raybow International Hotel
196,Arraial Do Cabo,BR,80.56,few clouds,-22.97,-42.03,Pousada Porto Praia
