City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Katsuura,JP,35.13,140.30,64.58,91,85,4.34,overcast clouds
1,Saint-Philippe,RE,-21.36,55.77,78.39,82,41,1.7,light rain
2,Mataura,NZ,-46.19,168.86,40.23,94,10,2.55,clear sky
3,Hay River,CA,60.82,-115.80,35.58,64,75,1.14,broken clouds
4,Atuona,PF,-9.80,-139.03,78.69,70,8,21.21,clear sky
5,Albany,US,42.60,-73.97,69.33,26,0,3.0,clear sky
6,Malinovoye Ozero,RU,51.68,79.78,60.78,24,100,6.2,overcast clouds
7,Hasaki,JP,35.73,140.83,59.4,88,83,6.69,broken clouds
8,Qaanaaq,GL,77.48,-69.36,16.72,73,6,2.82,clear sky
9,Kapaa,US,22.08,-159.32,73.72,88,20,17.27,few clouds
10,Eyrarbakki,IS,63.86,-21.15,41.05,61,100,5.79,overcast clouds
11,Lebu,CL,-37.62,-73.65,56.05,59,100,1.95,light rain
12,Vila Velha,BR,-20.33,-40.29,85.95,51,20,3.44,few clouds
13,Bayan,CN,46.08,127.40,45.77,35,34,6.08,scattered clouds
14,Ahipara,NZ,-35.17,173.17,50.07,78,1,4.0,clear sky
15,Ushuaia,AR,-54.80,-68.30,53.26,50,40,13.8,scattered clouds
16,Sao Filipe,CV,14.90,-24.50,74.08,78,75,9.93,broken clouds
17,Piracuruca,BR,-3.93,-41.71,87.76,58,69,2.08,broken clouds
18,Sapele,NG,5.89,5.68,84.22,77,94,6.29,light rain
19,Souillac,MU,-20.52,57.52,77.38,83,20,4.61,few clouds
20,Sur,OM,22.57,59.53,87.28,48,7,6.35,clear sky
21,Butaritari,KI,3.07,172.79,80.56,74,58,12.24,broken clouds
22,Hobart,AU,-42.88,147.33,51.06,91,100,5.75,overcast clouds
23,Punta Arenas,CL,-53.15,-70.92,46.42,76,75,4.61,broken clouds
24,Krutinka,RU,56.01,71.51,55.18,39,100,13.35,overcast clouds
25,Jamestown,US,42.10,-79.24,74.05,30,0,4.61,clear sky
26,Rikitea,PF,-23.12,-134.97,77.18,79,17,18.77,few clouds
27,Mahebourg,MU,-20.41,57.70,77.29,83,20,4.61,few clouds
28,Leningradskiy,RU,69.38,178.42,17.94,97,100,2.66,overcast clouds
29,Gold Coast,AU,-28.00,153.43,72.18,86,75,17.27,broken clouds
30,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,41.59,65,75,4.47,broken clouds
31,Hilo,US,19.73,-155.09,70.29,90,40,4.61,scattered clouds
32,Oranzherei,RU,45.85,47.57,60.75,40,100,16.26,overcast clouds
33,Narsaq,GL,60.92,-46.05,39.42,82,100,7.49,overcast clouds
34,Nikolskoye,RU,59.70,30.79,62.49,66,100,10.8,overcast clouds
35,Sisimiut,GL,66.94,-53.67,30.15,45,0,6.22,clear sky
36,Bengkulu,ID,-3.80,102.27,79.27,83,87,5.37,overcast clouds
37,Bandarbeyla,SO,9.49,50.81,83.97,80,26,8.01,scattered clouds
38,Namatanai,PG,-3.67,152.43,79.63,82,100,4.45,overcast clouds
39,Jatai,BR,-17.88,-51.71,84.34,37,71,4.09,broken clouds
